Canada,Canada
Zimbabwe,Zimbabwe
Ecuador,Ecuador
Greece,Greece
"Texas, USA","Texas, USA"
"Florida, USA","Florida, USA"
Puerto Rico,Puerto Rico
Haiti,Haiti
Italy,Italy
New Zealand,New Zealand
"Maryland, USA","Maryland, USA"
Mexico,Mexico
Srilanka,Srilanka
South Africa,South Africa
Earth,"Florida, USA"
Texas,"Texas, USA"
Houston,"Texas, USA"
United States,"Florida, USA"
"Baton Rouge, LA","Louisiana, USA"
"New Delhi, India",India
"Washington, DC","Washington, DC"
"Houston, TX","Texas, USA"
Hopes Peak,Japan
Los Angeles,"California, USA"
London,United Kingdom
New York City,"New York, USA"
"Austin, TX","Texas, USA"
Las Vegas Nevada USA,"Nevada, USA"
"Los Angeles, CA","California, USA"
Italia,Italy
"New Orleans, LA","Louisiana, USA"
"Tokyo, Japan",Japan
Nepal,Nepal
"London, England",United Kingdom
"San Francisco, CA","California, USA"
"Denver, CO","Colorado, USA"
Philippines,Republic of the Philippines
"Philadelphia, PA","Pennsylvania, USA"
"Houston, Texas","Texas, USA"
"Boston, MA","Massachusetts, USA"
"New York, NY","New York, USA"
"California, USA","California, USA"
Florida,"Florida, USA"
Singapore,Singapore
Global,"Florida, USA"
USA,"Florida, USA"
"Serṭozinho, Brasil",Brazil
"Atlanta, GA","Georgia, USA"
The Salt Mines,"Florida, USA"
"North Carolina, USA","North Carolina, USA"
"Dallas, TX","Texas, USA"
"Chicago, IL","Illinois, USA"
"Las Vegas, NV","Nevada, USA"
"Oklahoma City, OK","Oklahoma, USA"
"Tokyo-to, Japan",Japan
"Toronto, Ontario",Canada
Japan,Japan
India,India
"San Antonio, TX","Texas, USA"
Malaysia,Malaysia
"Louisiana, USA","Louisiana, USA"
"Corpus Christi, TX","Texas, USA"
Australia,Australia
"Tampa, FL","Florida, USA"
"Austin, Texas","Texas, USA"
"New York, USA","New York, USA"
Republic of the Philippines,Republic of the Philippines
"England, United Kingdom",United Kingdom
United Kingdom,United Kingdom
Kathmandu,Nepal
